afamado,2,0,0,6,1,3,0,3
afasta,7,2,0,3,1,0,0,3
afastar,15,4,0,2,0,4,1,8
afeto,5,2,0,1,1,1,0,4
afim,24,6,0,0,3,2,3,16
afinal,5,1,1,0,0,3,2,10
aflito,3,1,0,1,1,2,2,5
aflição,2,2,0,3,5,0,0,6
afoga,1,1,0,0,0,3,2,2
afogar,5,3,0,0,6,7,3,10
afonso,0,0,0,6,0,2,1,1
afora,5,3,0,3,7,4,1,6
ag,26,2,0,13,18,15,7,32
agarra,2,2,0,3,3,2,9,6
agarrada,2,0,0,0,0,2,3,2
agarradinha,1,0,0,0,2,3,0,3
agarradinho,21,3,0,4,12,15,17,12
agarrado,8,4,0,3,5,5,7,5
agarrar,11,1,0,3,4,3,5,5
agarrei,1,3,0,2,0,2,2,3
agarro,2,0,0,0,3,3,1,4
agarrou,2,1,0,1,0,1,3,6
agenda,4,3,0,0,0,0,1,3
agente,66,11,0,15,34,17,25,71
agindo,6,3,0,0,0,1,0,2
agir,13,3,0,0,0,0,0,9
agita,2,2,0,0,4,5,9,12
agitando,4,0,0,0,1,1,3,1
agitar,3,0,0,1,0,0,1,4
agog,1,0,0,1,1,3,3,0
agonia,10,5,1,6,7,8,12,6
agrada,5,0,0,2,1,2,0,3
agradar,16,5,1,2,3,2,1,14
agradece,3,0,0,1,2,2,1,3
agradecer,2,4,1,1,1,4,2,4
agradeço,13,4,0,3,7,4,7,11
agrado,2,0,0,2,1,1,3,0
agreste,5,0,0,9,2,4,1,3
agua,4,0,0,0,2,5,6,5
aguardente,0,1,0,6,3,1,2,4
aguenta,12,2,1,2,0,6,7,10
aguentando,5,2,0,0,0,0,0,2
aguentar,16,11,0,0,1,0,3,17
aguente,2,3,0,1,2,0,1,2
aguento,29,16,5,4,3,1,5,30
ajeita,1,3,0,1,2,1,1,6
ajuda,18,4,0,12,10,5,10,12
ajudar,20,4,0,10,11,16,7,21
ajude,11,1,0,7,3,1,3,11
ajudou,2,1,0,1,1,0,2,3
al,23,14,0,6,3,7,7,23
alagoas,1,1,0,4,5,4,2,10
alazão,3,3,0,5,3,4,2,13
alcança,3,2,0,3,1,0,1,1
alcançar,4,0,0,1,0,1,0,5
alecrim,3,0,0,3,2,1,3,0
alegra,3,1,0,2,4,3,5,3
alegrando,2,1,0,2,1,3,2,3
alegrar,5,2,0,4,4,5,5,6
alegre,9,2,0,15,13,12,8,5
alegria,123,34,0,60,70,87,78,131
alegrias,4,2,0,2,0,3,1,3
alem,1,0,0,1,1,4,1,3
algodão,3,1,0,9,5,6,6,8
alguem,19,3,0,1,4,0,1,10
algum,55,12,1,5,6,5,4,31
alguma,27,7,0,5,2,5,4,13
alguém,254,87,8,30,44,44,70,202
alheia,0,0,0,2,2,4,1,1
aliança,5,5,1,1,2,2,1,3
alimenta,3,5,1,1,1,0,3,4
alimentar,3,0,0,1,2,4,2,5
alimento,3,0,0,1,2,3,0,5
alivia,3,2,0,2,1,1,0,2
aliviar,2,2,0,0,3,3,3,6
alma,89,21,0,12,6,14,22,62
almas,1,2,0,2,2,3,2,2
almoçar,4,0,0,1,2,0,0,3
almoço,1,0,0,4,3,5,4,4
alta,8,2,0,4,7,1,3,7
altar,6,4,0,2,1,2,2,7
altas,4,1,0,1,0,0,0,4
alto,43,12,1,24,15,13,15,35
altura,1,0,0,4,3,3,5,1
alturas,1,4,0,0,1,2,0,2
alucina,7,1,0,0,0,3,4,10
alucinada,5,0,0,0,0,0,1,7
alucinado,13,1,0,0,0,1,0,4
alvo,7,0,2,0,0,1,1,1
alvorada,2,3,0,3,2,2,1,3
alvoroço,2,0,0,1,3,4,2,2
am,5,0,0,5,2,2,2,2
ama,202,91,7,18,32,51,39,178
