clean_lyric
discuto teimoso perder precioso viver joão teimoso nome dorme pé rede bebida fome comida sede foge meninas boas prefere coroas começa pára cara cismo cara
morena sereia beiramar passeia senta praia deixa praia cheia lindos castelos areia cuidado criança dia tufão derruba castelos esperança enche areia coração algum dia souberes nome escrevi nomes mulheres terás amei esqueci
rio querida guanabara gente aceito parabéns pau arara vim calcanhar judas bandas sertão brasileiro vim apertar mão seja pedacinho bolo ganho pra mundo tamanho anjos céu cantando parabéns junto chico noel adoram
baião veio forró forró veio rojão pisada chão xaxado baião xaxado vou mostrar pra xaxador vou mostrar pra xaxa vim pra xaxar xaxa vim pra xaxar
beira mar beira rio ê ê beira mar cheguei beira mar beira rio ê ê beira mar olha voume ê ê beira mar baiana conhece cocada baiana bota coco carioca canta samba paulista planta café bahia petróleo cacau candomblé
tá chuchu beleza tá chuchu beleza mulher arrastapé tá chuchu beleza olha vaidoso vergonhoso forró gostoso ficar mulher bessa gamação grilação papai tá olha forró jóia fica bóia fôr zémané mulher saindo chegando mulher sobrando ficando cuca lelé
dançar twist pra banda caju pra meianoite começou sururu   iê iê iê iê iê confusão iê iê iê sendo tentação cão   aconteceu brincadeira dono baile barrou feiticeira saiu maldizendo festança entrou cemitério pedindo vingança iê iê iê iê iê confusão iê iê iê sendo tentação cão   vi preta tratei correr voz diferente parava correr bicho pega ficar bicho come olhei pra esquerda vi lobisomem iê iê iê iê iê confusão iê iê iê sendo tentação cão
samba entra roda rapaz samba vamos vê batuqueiro letra pé
vou sambar vou mostrar pra gente competente sambalançar samba balança causar embaraço atrapalhar refrão berimbau balanço balanço berimbau balanço mostrar pra balanço refrão
sereno cai molhando jardim sereno cai molhando jardim mim mim boca noite sereno cai meia noite olha sereno cai romper aurora sereno cai esperar sentando banco jardim alah sereno cai pra atrapalhar
joca chegou quis entrar forró ninguém deixou ficou ciscar terreiro peixeira mão joca desordeiro danouse palavrão saia nome gritava ai homem pule hora mostro pau come nega forró achou tava correu pegou paucipó gritou vou tirar cartaz voz escutou homem valente desmaiou joca disse vou mulher macho senhor
sanfona chora ninguém cresce animação mulatas brancas sacudindo ancas segura rojão furam noite dia gritaria gente louca sanfona braba desafinada ficando rouca geme fole geme roncando baixos geme parar turma fogosa buliçosa dana pular levanta poeira ferve bebedeira mundo dança cozinha camarinha enchendo pança
bonito praia janga bonito praia janga bonito praia janga bonito praia janga viu janga preciso conhecer bonito panorama indo pra lua brilho sol calor coqueiros frutos cajú sabor vese veleiro voltando jangadeiro dia terminou
somei 9 4 quis 16 ta errado ta errado somar escrevi 9 embaixo 4 botei somei ponta dedos garanto acertei passei traço instante escrevi 16 ta errado ta errado somar soma presença escrevo 13 vou somar 16 traço resultado certo 26 ta errado ta errado somar afoito soma vou escrevo 12 18 vou somar garanto acertei 28 soma ta errado ta errado mandei estudar
pau rolou pedreira olha couro sinhá samba ta esfriar pau rolou pedreira olha couro sinhá rolou rolou rolou deixa pau rolar rolou rolou rolou olha couro sinhá
irmão escutando preste atenção vi cego contando história rojão vi cego contando história rojão luz mundo sofrer sofrimento profundo querer sofrimento profundo gente querer irmão triste fico ingratidão gravetos angico tiraram visão gravetos angico tiraram dó visão tamo viola jesus vamos pedir irmão dê esmola jesus vamos pedir irmão deixe esmola deus recompense caridade dê visão saúde felicidade dê visão sorte muita felicidade
inventaram bambolê negócio mulesta inventar gente fica cantinho remexendo remexendo remexendo parar bambolê bambolê bambolê baião bambolê vamos bambolear   pegue bambolê coloque cintura comece remexer pra gosto bambolê bambolê bambolear coloquei baião jeito vendo vou viciar   bambolê vou bambolear bambolê vou bambolear
maria maré encheu leva gereré levo maria maré tá cheia vamo simbora mulher goiamum cai ratoeira siri gereré maria maré encheu leva gereré levo siri irmão ostra mora maré goiamum parente aratu xié
bê bê ba bê bê bé bê i bê bi bê bê bó olha vamos estudar melhor estudei dona filomena professora vila tacauã quadro negro manhã escrevia lição pra estudar começava arrumar enfeitada vedete turma olhando toalete pestana bater filomena vendo calada gritou pra turma responder bê bê ba sentado frente estudava olhava ligeiro la pra mesa tinha cinema despesa filomena deu pra desconfiar turma parou soletrar levantouse perguntando voces estao olhando sossego entao respondi filomena estudo olhando quadro negro
chorando deixei ai ai chorando parti embarquei ficou sozinha ninguém voltei bobinha danadinha tinha cem
gafieira fica jacarepaguá gostei brincadeira semana inteira fiquei moreno disse venha dança casa peguei escurinha mandei passo coco chuá dono casa parou orquestra veio falar comigo pleno salão dizendo olhe pau arara aula cara lição peguei escura fiz traçado dancei trocado perna falando brincadeira instante gafieira virou forró
cantador caísse mundé   tás preso tás amarrado algemado acorrentado solto quiser   dizias acreditava mim fé frente olhando pra venta mundé cantador caísse mundé   pra entender pra fé adianta chorar ficar mundé   cantador caísse mundé   tás preso tás amarrado algemado acorrentado solto quiser cantador caísse mundé
vou vou   pro sertão deus quiser vou visitar mãe vou buscar mulher   anos cheguei norte muita sorte rio janeiro dinheiro guardado enfrento pesado noite dia faltando maria vou vou   pro sertão deus quiser vou visitar mãe vou buscar mulher   brincadeira viver sozinho carinho rabo saia vou praia fico mordendo muié correndo fazendo arrelia faltando maria vou vou   pro sertão deus quiser vou visitar mãe vou buscar mulher   chegar morar copacabana andar tomar banho mar dia vou maiô feito cetim mulher zomba mim vou vou   pro sertão deus quiser vou visitar mãe vou buscar mulher   brincadeira viver sozinho carinho rabo saia vou praia fico mordendo muié correndo fazendo arrelia faltando maria vou vou   pro sertão deus quiser vou visitar mãe vou buscar mulher
cacungaruquê cacungaruca língua africana língua danada pra gente falar procurei pai santo pra pedir remédio pra curar cacungaruquê tome nota cacungaruca xibe xibe note tape note tape xibe ba raiz cozida xarope cacungaruca pra tomar
bate zabumba toque bombo bate força noiteiro mandou cangaceiro ganhei dinheio mode assassinar rifle hoje toco pife dei brigar menino pior besta fera sertão hoje musico afamado tocando reizado novena lilão bate zabumba toque bombo bate força noiteiro mandou cangaceiro ganhei dinheio mode assassinar rifle hoje toco pife dei brigar muque celeiro juazeiro pia ladrão hoje procuro amparo falei vigario pra sacristão
cabra morrer corpo caixão lingua cabra caminhão veio norte tinha raspa dura colher farinha esteira cabeça puxando cachorrinha meia dúzia tostão fala carioca deu mão nordeste achei homem honra calça veste nao suja prato come
